# x	y	u	v	flags	mask
3.5226e+00	5.0145e+00	-4.2457e+00	2.1392e-01	0.0000e+00	0.0000e+00
3.7402e+00	5.0145e+00	-2.9692e+00	-1.0451e-01	0.0000e+00	0.0000e+00
3.9577e+00	5.0145e+00	-3.0269e+00	-1.2710e-01	0.0000e+00	0.0000e+00
4.1753e+00	5.0145e+00	-3.3045e+00	-4.3849e-01	0.0000e+00	0.0000e+00
4.3929e+00	5.0145e+00	-3.3335e+00	-4.9897e-01	0.0000e+00	0.0000e+00
4.6104e+00	5.0145e+00	-3.3160e+00	-1.0466e+00	0.0000e+00	0.0000e+00
4.8280e+00	5.0145e+00	-2.6536e+00	-1.1157e+00	0.0000e+00	0.0000e+00
5.0456e+00	5.0145e+00	-8.0967e-01	-7.5067e-01	0.0000e+00	0.0000e+00
5.2632e+00	5.0145e+00	-1.0239e+00	-1.0459e+00	0.0000e+00	0.0000e+00
5.4807e+00	5.0145e+00	8.3158e-01	-5.3970e-01	0.0000e+00	0.0000e+00
5.6983e+00	5.0145e+00	6.9856e-01	-2.7298e-01	0.0000e+00	0.0000e+00
5.9159e+00	5.0145e+00	1.7399e-01	1.2026e-01	0.0000e+00	0.0000e+00
2.5901e-01	4.7969e+00	-3.1169e+00	8.5496e-03	0.0000e+00	0.0000e+00
4.7659e-01	4.7969e+00	-3.2268e+00	-7.6778e-02	0.0000e+00	0.0000e+00
6.9416e-01	4.7969e+00	-3.8737e+00	-5.0256e-01	0.0000e+00	0.0000e+00
9.1173e-01	4.7969e+00	-3.8440e+00	-5.7369e-01	0.0000e+00	0.0000e+00
1.1293e+00	4.7969e+00	-4.1092e+00	-8.0150e-01	0.0000e+00	0.0000e+00
1.3469e+00	4.7969e+00	-4.0510e+00	-8.0960e-01	0.0000e+00	0.0000e+00
1.5644e+00	4.7969e+00	-4.0509e+00	-5.5739e-01	1.0000e+00	0.0000e+00
1.7820e+00	4.7969e+00	-4.2353e+00	-7.2972e-01	0.0000e+00	0.0000e+00
1.9996e+00	4.7969e+00	-4.2779e+00	-6.5114e-01	0.0000e+00	0.0000e+00
2.2172e+00	4.7969e+00	-4.3724e+00	-6.7363e-01	0.0000e+00	0.0000e+00
2.4347e+00	4.7969e+00	-4.4786e+00	-4.3094e-01	0.0000e+00	0.0000e+00
2.6523e+00	4.7969e+00	-4.4687e+00	-1.6539e-01	0.0000e+00	0.0000e+00
2.8699e+00	4.7969e+00	-4.5304e+00	-1.4428e-01	0.0000e+00	0.0000e+00
3.0874e+00	4.7969e+00	-4.4056e+00	-1.1908e-01	0.0000e+00	0.0000e+00
3.3050e+00	4.7969e+00	-4.3392e+00	-1.7423e-02	0.0000e+00	0.0000e+00
3.5226e+00	4.7969e+00	-4.2836e+00	1.9442e-02	0.0000e+00	0.0000e+00
3.7402e+00	4.7969e+00	-3.1657e+00	-4.6012e-01	0.0000e+00	0.0000e+00
3.9577e+00	4.7969e+00	-2.8725e+00	-4.6394e-01	0.0000e+00	0.0000e+00
4.1753e+00	4.7969e+00	-2.9326e+00	-5.4601e-01	0.0000e+00	0.0000e+00
4.3929e+00	4.7969e+00	-3.1510e+00	-5.7845e-01	0.0000e+00	0.0000e+00
4.6104e+00	4.7969e+00	-2.4139e+00	-6.5089e-01	0.0000e+00	0.0000e+00
4.8280e+00	4.7969e+00	-1.1469e-01	1.8286e-02	0.0000e+00	0.0000e+00
5.0456e+00	4.7969e+00	-5.1525e-01	-1.6542e-01	0.0000e+00	0.0000e+00
5.2632e+00	4.7969e+00	4.2873e-02	-3.8782e-01	0.0000e+00	0.0000e+00
5.4807e+00	4.7969e+00	5.6269e-01	-5.2784e-01	0.0000e+00	0.0000e+00
5.6983e+00	4.7969e+00	4.3963e-01	-2.8685e-01	0.0000e+00	0.0000e+00
5.9159e+00	4.7969e+00	2.7357e-01	-7.6411e-02	0.0000e+00	0.0000e+00
